EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
identity,identity,H_03_071,p,FullyOpen,0.0,,,Closed,0.0,AsymmetricalDifferentHandshape,Straight,0,Hand,Palm,,1,B,0
poop,poop,H_03_072,t,,,,,Open,,AsymmetricalSameHandshape,Straight,0,Hand,Other,HandAway,1,a,0
whisper,whisper,H_03_075,imrp,Flat,1.0,1.0,0.0,Closed,0.0,OneHanded,,1,Head,Mouth,,1,,0
all_over_body,all_over_body,H_03_078,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,5,0
script,script,H_03_081,imrp,FullyClosed,0.0,,0.0,Closed,1.0,AsymmetricalDifferentHandshape,Straight,0,Hand,FingerFront,Heel,1,B,0
instagram,instagram,H_03_083,i,Curved,0.0,,,Open,0.0,OneHanded,Straight,1,Neutral,Neutral,Neutral,0,,0
double,double,H_03_084,im,Stacked,0.0,,0.0,Open,1.0,AsymmetricalDifferentHandshape,Curved,0,Hand,Palm,HandAway,1,B,1
therapy,therapy,H_03_088,i,Bent,0.0,,,Open,1.0,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,,1,B,0
recent_1,recent,H_03_090,i,Bent,0.0,,,Closed,0.0,OneHanded,,1,Head,CheekNose,,1,,0
mexican_2,mexican_2,H_03_091,imr,Flat,0.0,0.0,0.0,Closed,1.0,OneHanded,Straight,1,Head,CheekNose,HeadAway,1,,0
space,space,H_03_093,m,Flat,0.0,,,Open,0.0,AsymmetricalDifferentHandshape,Curved,1,Hand,PalmBack,HandAway,1,C,0
philosophy,philosophy,H_03_095,imrp,FullyOpen,0.0,1.0,1.0,Closed,0.0,OneHanded,Straight,1,Head,Forehead,HeadAway,1,,0
heap,heap,H_03_096,imrp,Curved,0.0,0.0,0.0,Open,0.0,OneHanded,Curved,0,Arm,ArmAway,ArmAway,0,,0
senior_citizen,senior_citizen,H_03_097,imrp,FullyClosed,,,,Closed,1.0,OneHanded,Straight,0,Head,Chin,Chin,1,,0
pickle,pickle,H_03_098,im,Stacked,0.0,,0.0,Open,1.0,OneHanded,,1,Head,Mouth,,1,,1
cool_3,cool_3,H_03_099,i,Curved,0.0,,,Open,1.0,OneHanded,,0,Head,Mouth,,1,,1
opinion_2,opinion_2,H_03_101,imrp,Curved,0.0,0.0,0.0,Open,1.0,OneHanded,Straight,0,Head,Forehead,HeadAway,1,,0
hood,hood,H_03_104,i,Bent,0.0,,,Open,1.0,SymmetricalOrAlternating,Curved,0,Head,HeadAway,HeadAway,0,baby_o,0
leave_alone,leave_alone,H_03_105,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,BackAndForth,0,Neutral,Neutral,Neutral,0,5,0
group,group,J_01_001,i,Flat,0.0,,,Open,0.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,g,1
feedback,feedback,J_01_002,i,Curved,1.0,,,Open,1.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,0,f,0
cool_5,cool_5,J_01_004,imrp,FullyOpen,1.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,,1,Head,HeadAway,,0,5,0
dont_feel_like,dont_feel_like,J_01_005,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,Curved,0,Head,CheekNose,HeadAway,1,,1
fingers_crossed,fingers_crossed,J_01_006,im,Crossed,0.0,0.0,0.0,Closed,0.0,SymmetricalOrAlternating,,0,Neutral,Neutral,,0,r,0
story_2,story_2,J_01_007,imrp,Curved,0.0,0.0,0.0,Open,1.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,1,o,1
negative,negative,J_01_008,i,Flat,0.0,,,Closed,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,,1,B,0
express,express,J_01_009,imrp,FullyClosed,1.0,,1.0,Closed,1.0,SymmetricalOrAlternating,Curved,0,Body,TorsoMid,BodyAway,1,s,0
fashion,fashion,J_01_010,i,Flat,1.0,,,Open,1.0,SymmetricalOrAlternating,Curved,1,Neutral,Neutral,Neutral,0,g,0
steam,steam,J_01_011,imrp,FullyClosed,1.0,,1.0,Open,0.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,0,a,0
donkey,donkey,J_01_012,imrp,FullyOpen,1.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,,1,Head,Other,Other,1,open_b,0
march,march,J_01_013,imrp,Flat,1.0,0.0,1.0,Open,0.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,0,flat_b,0
articulate_sign,articulate_sign,J_01_014,imrp,FullyClosed,1.0,,1.0,Closed,1.0,SymmetricalOrAlternating,Curved,1,Neutral,Neutral,Neutral,0,s,0
